Event,Country,First RunYYYY MM DD,Next AnniversaryYYYY MM DD,Anniversary Number
Fuldaaue parkrun,Germany,2022-05-07,2025-05-03,3
Gadebridge parkrun,United Kingdom,2015-05-02,2025-05-03,10
Glenfarne Wood parkrun,Ireland,2024-05-04,2025-05-03,1
Hanworth parkrun,United Kingdom,2019-05-04,2025-05-03,6
Harkerville parkrun,South Africa,2018-05-05,2025-05-03,7
Inibos parkrun,South Africa,2022-05-07,2025-05-03,3
Kräherwald parkrun,Germany,2018-05-05,2025-05-03,7
Loftsgardsbrua parkrun,Norway,2024-05-04,2025-05-03,1
Lower Hutt parkrun,New Zealand,2012-05-05,2025-05-03,13
Mbabane parkrun,South Africa,2017-05-06,2025-05-03,8
Medina I.O.W. parkrun,United Kingdom,2011-05-07,2025-05-03,14
Morrissey Park parkrun,United States,2024-05-04,2025-05-03,1
Northampton parkrun,United Kingdom,2012-05-05,2025-05-03,13
Nulkaba parkrun,Australia,2018-05-05,2025-05-03,7
O’Connors Beach parkrun,Australia,2023-05-06,2025-05-03,2
Ottawa-Carleton Trailway parkrun,Canada,2024-05-04,2025-05-03,1
Parkindula Reserve parkrun,Australia,2023-05-06,2025-05-03,2
"parkrun Błonie, Krotoszyn",Poland,2023-05-06,2025-05-03,2
parkrun Jezioro Swarzędzkie,Poland,2019-05-04,2025-05-03,6
parkrun Katowice,Poland,2016-05-07,2025-05-03,9
parkrun Opole,Poland,2015-05-02,2025-05-03,10
Pontefract parkrun,United Kingdom,2011-05-07,2025-05-03,14
Prospect parkrun,United Kingdom,2018-05-05,2025-05-03,7
Purcell parkrun,United States,2024-05-04,2025-05-03,1
Raphael parkrun,United Kingdom,2015-05-02,2025-05-03,10
Rhodes parkrun,Australia,2015-05-02,2025-05-03,10
Richards Bay parkrun,South Africa,2016-05-07,2025-05-03,9
Rushmoor parkrun,United Kingdom,2014-05-03,2025-05-03,11
Salento parkrun,Italy,2018-05-05,2025-05-03,7
Shiraz Trail parkrun,Australia,2019-05-04,2025-05-03,6
Stadtpark parkrun,Germany,2023-05-06,2025-05-03,2
Stamford Park parkrun,United Kingdom,2015-05-02,2025-05-03,10
Street parkrun,United Kingdom,2018-05-05,2025-05-03,7
"Thames Path parkrun, Woolwich",United Kingdom,2023-05-06,2025-05-03,2
"Tollcross parkrun, Glasgow",United Kingdom,2013-05-04,2025-05-03,12
Uckfield parkrun,United Kingdom,2019-05-04,2025-05-03,6
Uppsala parkrun,Sweden,2018-05-05,2025-05-03,7
Volksgarten parkrun,Germany,2019-05-04,2025-05-03,6
